full_awb_number,customer_id,zoho_cust_id,zoho_deal_id
SD389898228TE,370,zcrm_212174000007815359,zcrm_212174000008748833
SD389898214TE,8379,zcrm_212174000023546280,zcrm_212174000023539176
SD389898191TE,9086,zcrm_212174000027428645,zcrm_212174000027420635
H00N3A0028662790,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662803,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662512,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662524,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662536,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898188TE,9481,zcrm_212174000029438299,zcrm_212174000029428964
H00N3A0028662637,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662649,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662651,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662548,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662663,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662675,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662687,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662550,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662562,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662815,9819,zcrm_212174000031239106,zcrm_212174000031247073
LK082539721FR,2950,zcrm_212174000022395913,zcrm_212174000008764794
H00N3A0028662574,9819,zcrm_212174000031239106,zcrm_212174000031247073
LK082539735FR,2950,zcrm_212174000022395913,zcrm_212174000008764794
H00N3A0028662699,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662702,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662586,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662992,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662827,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028663007,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028663019,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028663021,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662714,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898174TE,3229,zcrm_212174000007822063,zcrm_212174000008765874
H00N3A0028662726,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662839,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662841,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028662853,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662865,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662738,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662740,9819,zcrm_212174000031239106,zcrm_212174000031247073
LK082540115FR,3238,zcrm_212174000023780668,zcrm_212174000008765883
LK082540305FR,3205,zcrm_212174000007822039,zcrm_212174000008765850
H00N3A0028662752,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662877,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662889,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898157TE,6153,zcrm_212174000014406108,zcrm_212174000014405103
H00N3A0028662891,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662904,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028663033,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662916,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028663045,9819,zcrm_212174000031239106,zcrm_212174000031247073
1.00E+12,2820,zcrm_212174000007821245,zcrm_212174000008763861
H00N3A0028663057,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898143TE,7134,zcrm_212174000018957420,zcrm_212174000018953361
H00N3A0028662928,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898130TE,4426,zcrm_212174000007824482,zcrm_212174000008771891
H00N3A0028663069,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028662930,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028663083,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028663095,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028663146,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028663499,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028663386,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028664249,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028663956,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028664376,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028664617,9819,zcrm_212174000031239106,zcrm_212174000031247073
LK082543624FR,4895,zcrm_212174000009224859,zcrm_212174000009224865
H00N3A0028664528,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028665001,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665013,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028664706,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898126TE,9692,zcrm_212174000030331201,zcrm_212174000030302546
H00N3A0028665075,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028664768,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028664908,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898112TE,9565,zcrm_212174000029760107,zcrm_212174000029751410
H00N3A0028664770,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028665099,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028664910,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898109TE,4895,zcrm_212174000009224859,zcrm_212174000009224865
H00N3A0028665102,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665114,7111,zcrm_212174000018953117,zcrm_212174000018958109
1.00E+12,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665126,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028665138,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665190,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028665203,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028664934,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028665253,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665417,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665291,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665796,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028665520,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028665722,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028666039,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028666368,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028666522,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028667271,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028667409,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028667358,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028667574,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898090TE,10165,zcrm_212174000034318122,zcrm_212174000034296113
SD389898086TE,10165,zcrm_212174000034318122,zcrm_212174000034296113
